"Page","Impressions","Clicks","CTR","Avg. Position"
"https://congoafricangreys.com/","528","23","4.36%","6.545450568181817"
"https://congoafricangreys.com/product/african-grey-parrot-bird-eggs-for-sale-usa/","227","21","9.25%","5.903085462555065"
"https://congoafricangreys.com/male-vs-female-african-grey-parrots-for-sale/","105","1","0.9500000000000001%","7.819044761904762"
"https://congoafricangreys.com/blog/african-grey-parrot-talking-ability/","50","1","2%","4.980004"
"https://congoafricangreys.com/african-grey-parrot-guide/","47","1","2.13%","6.0425489361702125"
"https://congoafricangreys.com/congo-vs-timneh-african-grey/","45","0","0%","6.6"
"https://congoafricangreys.com/blog/african-grey-parrot-cage-setup/","43","4","9.3%","4.7907"
"https://congoafricangreys.com/best-african-grey-parrot-food/","37","0","0%","6.864864864864865"
"https://congoafricangreys.com/product/african-grey-parrot-for-sale-florida/","36","4","11.11%","7.388883333333333"
"https://congoafricangreys.com/african-grey-parrot-bird-eggs-for-sale-usa/","25","4","16%","6.000004000000001"
"https://congoafricangreys.com/african-grey-vs-macaw/","24","0","0%","5.500004166666667"
"https://congoafricangreys.com/african-grey-vs-cockatoo/","24","1","4.17%","3.4583375000000003"
"https://congoafricangreys.com/blog/african-grey-health-problems/","24","3","12.5%","4.25"
"https://congoafricangreys.com/african-grey-parrot-lifespan/","23","1","4.3500000000000005%","4.826086956521739"
"https://congoafricangreys.com/product/congo-african-grey-parrot-pair-for-sale/","22","4","18.18%","5.5"
"https://congoafricangreys.com/baby-african-grey-parrot-for-sale/","22","6","27.27%","3.1818227272727273"
"https://congoafricangreys.com/african-grey-pros-and-cons/","22","1","4.55%","2.3636363636363638"
"https://congoafricangreys.com/cites-african-grey-documentation/","18","2","11.11%","2.2777777777777777"
"https://congoafricangreys.com/buy-african-grey-parrots-with-shipping/","17","2","11.76%","4.647058823529412"
"https://congoafricangreys.com/product/buy-intelligent-african-grey-for-sale-ca/","17","1","5.88%","6.705882352941177"
"https://congoafricangreys.com/african-grey-parrot-diet/","16","0","0%","6.25"
"https://congoafricangreys.com/african-grey-parrot-adoption-cost/","15","1","6.67%","5.4666533333333325"
"https://congoafricangreys.com/african-grey-vs-amazon-parrot/","13","0","0%","4.384615384615385"
"https://congoafricangreys.com/where-to-buy-african-greys-near-me/","11","1","9.09%","5.636363636363637"
"https://congoafricangreys.com/african-grey-parrot-care-guide/","11","1","9.09%","4.2727272727272725"
"https://congoafricangreys.com/african-grey-comparison/","11","0","0%","3.545445454545454"
"https://congoafricangreys.com/african-grey-parrot-price/","10","2","20%","6.7"
"https://congoafricangreys.com/african-grey-adoption/","10","0","0%","6.1"
"https://congoafricangreys.com/trusted-african-grey-parrot-breeders/","9","3","33.33%","6.555555555555555"
"https://congoafricangreys.com/affordable-african-grey-birds-for-sale/","7","0","0%","5.714285714285714"
"https://congoafricangreys.com/product/texas-congo-african-grey-parrot-for-sale/","7","0","0%","4.571428571428571"
"https://congoafricangreys.com/how-to-avoid-african-grey-parrot-scams/","6","0","0%","5.666683333333334"
"https://congoafricangreys.com/product-category/buy-female-grey-african-parrots-colorado/","6","0","0%","4.333333333333333"
"https://congoafricangreys.com/african-grey-parrot-for-sale/","6","0","0%","6.833333333333333"
"https://congoafricangreys.com/african-grey-parrot-for-sale-miami/","6","0","0%","6.5"
"https://congoafricangreys.com/product/african-grey-parrot-for-sale-ohio/","5","0","0%","7.4"
"https://congoafricangreys.com/african-grey-parrot-eggs-for-sale-near-you/","5","0","0%","4.6"
"https://congoafricangreys.com/african-grey-for-sale-los-angeles-california/","5","0","0%","11"
"https://congoafricangreys.com/african-grey-parrot-for-sale-in-arizona/","5","0","0%","5.8"
"https://congoafricangreys.com/african-grey-parrot-for-sale-pennsylvania/","4","0","0%","9.5"
"https://congoafricangreys.com/african-grey-parrot-for-sale-texas/","4","0","0%","9"
"https://congoafricangreys.com/product/african-grey-fertile-eggs-for-sale/","4","1","25%","4.25"
"https://congoafricangreys.com/male-african-gray-for-sale/","4","1","25%","4.5"
"https://congoafricangreys.com/blog/is-african-grey-good-for-beginners/","4","0","0%","7.25"
"https://congoafricangreys.com/blog/african-grey-parrot-facts/","4","0","0%","5.25"
"https://congoafricangreys.com/african-grey-reviews/","3","0","0%","2"
"https://congoafricangreys.com/african-grey-care/","3","1","33.33%","6.333333333333333"
"https://congoafricangreys.com/trusted-african-grey-parrot-breeders-tacoma/","3","3","100%","2.6666666666666665"
"https://congoafricangreys.com/congo-african-grey-for-sale/","3","1","33.33%","4"
"https://congoafricangreys.com/timneh-african-grey-for-sale/","3","0","0%","5.666666666666667"
"https://congoafricangreys.com/captive-bred-african-grey-parrot/","3","0","0%","7.666666666666667"
"https://congoafricangreys.com/african-grey-parrot-faq/","2","0","0%","4"
"https://congoafricangreys.com/african-grey-parrot-for-sale-orlando/","2","0","0%","5.5"
"https://congoafricangreys.com/female/","2","0","0%","7"
"https://congoafricangreys.com/african-grey-parrots-for-sale-near-me/","2","0","0%","3.5"
"https://congoafricangreys.com/african-grey-parrot-health-guarantee/","2","0","0%","3"
