"Page","Impressions","Clicks","CTR","Avg. Position"
"https://congoafricangreys.com/","302","21","6.95%","6.245024834437087"
"https://congoafricangreys.com/product/african-grey-parrot-bird-eggs-for-sale-usa/","42","3","7.140000000000001%","4.1190404761904755"
"https://congoafricangreys.com/congo-vs-timneh-african-grey/","42","0","0%","6.714285714285714"
"https://congoafricangreys.com/blog/african-grey-parrot-cage-setup/","30","1","3.33%","4.86667"
"https://congoafricangreys.com/male-vs-female-african-grey-parrots-for-sale/","24","0","0%","7.833333333333333"
"https://congoafricangreys.com/african-grey-parrot-guide/","23","0","0%","5.999995652173913"
"https://congoafricangreys.com/african-grey-pros-and-cons/","16","0","0%","2.25"
"https://congoafricangreys.com/blog/african-grey-parrot-talking-ability/","16","0","0%","5.0625"
"https://congoafricangreys.com/african-grey-vs-macaw/","12","0","0%","5.166666666666667"
"https://congoafricangreys.com/cites-african-grey-documentation/","11","1","9.09%","2.727272727272727"
"https://congoafricangreys.com/blog/african-grey-health-problems/","11","2","18.18%","4"
"https://congoafricangreys.com/product/congo-african-grey-parrot-pair-for-sale/","9","2","22.22%","5.111111111111111"
"https://congoafricangreys.com/african-grey-comparison/","9","0","0%","2.999988888888889"
"https://congoafricangreys.com/african-grey-parrot-price/","8","1","12.5%","7.375"
"https://congoafricangreys.com/african-grey-vs-cockatoo/","8","1","12.5%","4.375"
"https://congoafricangreys.com/african-grey-parrot-care-guide/","7","1","14.290000000000001%","3.2857142857142856"
"https://congoafricangreys.com/african-grey-parrot-diet/","7","0","0%","6.857142857142857"
"https://congoafricangreys.com/how-to-avoid-african-grey-parrot-scams/","6","0","0%","5.666683333333334"
"https://congoafricangreys.com/african-grey-parrot-lifespan/","6","0","0%","6.166666666666667"
"https://congoafricangreys.com/african-grey-adoption/","6","0","0%","6.833333333333333"
"https://congoafricangreys.com/african-grey-parrot-for-sale/","6","0","0%","6.833333333333333"
"https://congoafricangreys.com/trusted-african-grey-parrot-breeders/","6","1","16.67%","5.666666666666667"
"https://congoafricangreys.com/african-grey-parrot-bird-eggs-for-sale-usa/","6","2","33.33%","8.666683333333333"
"https://congoafricangreys.com/best-african-grey-parrot-food/","5","0","0%","7.6"
"https://congoafricangreys.com/african-grey-parrot-for-sale-texas/","4","0","0%","9"
"https://congoafricangreys.com/baby-african-grey-parrot-for-sale/","4","3","75%","3.5"
"https://congoafricangreys.com/male-african-gray-for-sale/","4","1","25%","4.5"
"https://congoafricangreys.com/affordable-african-grey-birds-for-sale/","4","0","0%","4.25"
"https://congoafricangreys.com/blog/is-african-grey-good-for-beginners/","4","0","0%","7.25"
"https://congoafricangreys.com/african-grey-vs-amazon-parrot/","4","0","0%","4.75"
"https://congoafricangreys.com/african-grey-parrot-adoption-cost/","4","1","25%","6"
"https://congoafricangreys.com/trusted-african-grey-parrot-breeders-tacoma/","3","3","100%","2.6666666666666665"
"https://congoafricangreys.com/african-grey-parrot-for-sale-pennsylvania/","2","0","0%","9.5"
"https://congoafricangreys.com/where-to-buy-african-greys-near-me/","2","0","0%","10"
"https://congoafricangreys.com/african-grey-parrot-faq/","2","0","0%","4"
"https://congoafricangreys.com/product/african-grey-parrot-for-sale-ohio/","2","0","0%","6.5"
"https://congoafricangreys.com/product-category/buy-female-grey-african-parrots-colorado/","2","0","0%","5.5"
"https://congoafricangreys.com/african-grey-care/","2","0","0%","9"
"https://congoafricangreys.com/african-grey-parrots-for-sale-near-me/","2","0","0%","3.5"
"https://congoafricangreys.com/african-grey-parrots-for-sale/","2","0","0%","7.5"
"https://congoafricangreys.com/african-grey-parrot-for-sale-san-diego/","2","0","0%","8"
"https://congoafricangreys.com/timneh-african-grey-for-sale/","2","0","0%","4"
"https://congoafricangreys.com/african-grey-parrot-for-sale-ohio/","2","0","0%","9"
"https://congoafricangreys.com/african-grey-parrot-for-sale-near-me/","1","0","0%","2"
"https://congoafricangreys.com/african-grey-reviews/","1","0","0%","3"
"https://congoafricangreys.com/african-grey-parrot-for-sale-orlando/","1","0","0%","3"
"https://congoafricangreys.com/buy-intelligent-african-grey-for-sale-ca/","1","0","0%","4"
"https://congoafricangreys.com/blog/","1","0","0%","1"
"https://congoafricangreys.com/available/","1","1","100%","4"
"https://congoafricangreys.com/buy-african-grey-parrots-with-shipping/","1","1","100%","2"
"https://congoafricangreys.com/african-grey-parrot-health-guarantee/","1","0","0%","2"
"https://congoafricangreys.com/african-grey-parrot-for-sale-massachusetts/","1","0","0%","3"
"https://congoafricangreys.com/african-grey-parrot-for-sale-new-york/","1","0","0%","3"
"https://congoafricangreys.com/congo-african-grey-for-sale/","1","0","0%","5"
"https://congoafricangreys.com/african-grey-parrot-for-sale-tampa/","1","0","0%","3"
"https://congoafricangreys.com/blog/african-grey-parrot-facts/","1","0","0%","2"
"https://congoafricangreys.com/captive-bred-african-grey-parrot/","1","0","0%","3"
