Country,Clicks,Impressions,CTR,Position
United States,419,17929,2.34%,42.62
United Kingdom,16,2054,0.78%,38.79
India,12,501,2.4%,35.76
South Africa,9,426,2.11%,27.04
Cameroon,9,296,3.04%,30.65
Canada,6,408,1.47%,42.67
Puerto Rico,6,108,5.56%,44.09
Mexico,3,94,3.19%,44.73
Cyprus,3,20,15%,24.05
Pakistan,2,450,0.44%,9.1
Australia,2,311,0.64%,37.13
United Arab Emirates,2,96,2.08%,18.89
Iran,2,13,15.38%,24.38
Senegal,2,10,20%,14.6
Brazil,1,673,0.15%,74.47
Germany,1,117,0.85%,49.83
France,1,73,1.37%,50.53
Japan,1,67,1.49%,126.37
Saudi Arabia,1,64,1.56%,42.08
Malaysia,1,59,1.69%,48.64
Singapore,1,57,1.75%,30.72
Netherlands,1,55,1.82%,40.2
Bangladesh,1,54,1.85%,42.76
Thailand,1,49,2.04%,41.06
Nigeria,1,43,2.33%,20.28
Dominican Republic,1,26,3.85%,50.27
Norway,1,24,4.17%,27.42
Greece,1,22,4.55%,31.82
Romania,1,18,5.56%,41
Congo - Kinshasa,1,6,16.67%,11.17
Uganda,1,6,16.67%,14
Guatemala,1,4,25%,13.75
Vietnam,0,240,0%,69.47
South Korea,0,214,0%,61.22
Russia,0,192,0%,74.35
Philippines,0,149,0%,36.36
Indonesia,0,112,0%,40.28
Turkey,0,85,0%,32.27
Spain,0,82,0%,38.62
Argentina,0,81,0%,64.28
Ireland,0,80,0%,31.7
Egypt,0,65,0%,38.54
Italy,0,63,0%,58.75
New Zealand,0,62,0%,23.71
Israel,0,62,0%,57.02
Colombia,0,54,0%,56.07
Ecuador,0,48,0%,54.25
Ukraine,0,44,0%,51.36
Belgium,0,41,0%,48.9
Poland,0,41,0%,60.34
Algeria,0,38,0%,31.68
Sweden,0,37,0%,37.16
Iraq,0,34,0%,47.18
Kenya,0,33,0%,26.94
Taiwan,0,32,0%,69.28
Venezuela,0,30,0%,66.77
Peru,0,28,0%,55.36
Portugal,0,27,0%,31.3
Laos,0,22,0%,28.23
Qatar,0,22,0%,35.23
Morocco,0,22,0%,54.55
Kuwait,0,21,0%,36.14
Albania,0,21,0%,38.62
Hungary,0,21,0%,48.81
Chile,0,19,0%,53.42
Bahrain,0,16,0%,29.38
Jordan,0,16,0%,31.69
Switzerland,0,16,0%,56.38
Uzbekistan,0,16,0%,61.75
Papua New Guinea,0,15,0%,7.67
Denmark,0,15,0%,12.93
Trinidad & Tobago,0,15,0%,48.33
Kazakhstan,0,15,0%,51.53
China,0,14,0%,20.07
Malta,0,14,0%,24.79
Serbia,0,14,0%,33.36
Tunisia,0,14,0%,49.07
Unknown Region,0,14,0%,75.29
Tanzania,0,13,0%,21.46
Costa Rica,0,12,0%,37.33
Czechia,0,12,0%,53.33
Georgia,0,12,0%,66.17
Maldives,0,11,0%,16.91
Finland,0,11,0%,26.27
Macedonia,0,11,0%,26.45
Iceland,0,11,0%,35.27
Barbados,0,11,0%,38.64
Croatia,0,10,0%,16.3
Latvia,0,10,0%,23.4
Ghana,0,10,0%,29.3
Uruguay,0,10,0%,88.6
Sri Lanka,0,9,0%,18.22
Austria,0,9,0%,27.67
Myanmar (Burma),0,9,0%,52
Jamaica,0,9,0%,53.56
Honduras,0,9,0%,55.89
Oman,0,8,0%,20.5
Bosnia & Herzegovina,0,8,0%,33.38
Bulgaria,0,8,0%,42.25
Panama,0,8,0%,55.5
Paraguay,0,8,0%,66.88
Azerbaijan,0,8,0%,88.5
Lebanon,0,7,0%,26.71
Syria,0,7,0%,37.86
Lithuania,0,7,0%,69.43
Bolivia,0,7,0%,74.86
Hong Kong,0,7,0%,77
Estonia,0,6,0%,8.33
Zambia,0,6,0%,11.5
Slovenia,0,6,0%,26.17
Slovakia,0,6,0%,47
Namibia,0,5,0%,8.6
Isle of Man,0,5,0%,9.8
Benin,0,5,0%,33
Libya,0,5,0%,37.4
Botswana,0,5,0%,53
El Salvador,0,5,0%,54
Nepal,0,5,0%,66.6
Angola,0,4,0%,9.5
Guam,0,4,0%,32.25
Guyana,0,4,0%,47
Bahamas,0,3,0%,7.33
Haiti,0,3,0%,8.67
Aruba,0,3,0%,11.67
St. Kitts & Nevis,0,3,0%,21
Ethiopia,0,3,0%,27
Zimbabwe,0,3,0%,33.67
Kyrgyzstan,0,3,0%,35
Mongolia,0,3,0%,37.33
Congo - Brazzaville,0,3,0%,38
Togo,0,3,0%,41
Gabon,0,3,0%,60
U.S. Virgin Islands,0,2,0%,5
Tonga,0,2,0%,5.5
Mauritius,0,2,0%,8
Curaçao,0,2,0%,9
Cambodia,0,2,0%,9.5
Armenia,0,2,0%,58
Belarus,0,2,0%,60
Côte d’Ivoire,0,2,0%,82
Brunei,0,2,0%,83
Cayman Islands,0,2,0%,93
Gambia,0,2,0%,93
Luxembourg,0,2,0%,98.5
Burkina Faso,0,1,0%,4
Fiji,0,1,0%,5
Chad,0,1,0%,5
St. Barthélemy,0,1,0%,8
Rwanda,0,1,0%,8
Yemen,0,1,0%,9
Mozambique,0,1,0%,10
Sierra Leone,0,1,0%,10
Liberia,0,1,0%,12
Nicaragua,0,1,0%,13
Anguilla,0,1,0%,14
Moldova,0,1,0%,14
Seychelles,0,1,0%,15
Sudan,0,1,0%,20
Martinique,0,1,0%,22
Faroe Islands,0,1,0%,27
St. Lucia,0,1,0%,47
Guernsey,0,1,0%,48
Belize,0,1,0%,68
Caribbean Netherlands,0,1,0%,80
Antigua & Barbuda,0,1,0%,81
Grenada,0,1,0%,87
Liechtenstein,0,1,0%,88
Afghanistan,0,1,0%,89
Palestine,0,1,0%,90
Mauritania,0,1,0%,97
Sint Maarten,0,1,0%,101
