Date,Clicks,Impressions,CTR,Position
2025-03-18,0,13,0%,92.5
2025-03-19,1,20,5%,90.6
2025-03-20,0,19,0%,90.5
2025-03-21,0,22,0%,89
2025-03-22,0,14,0%,95.2
2025-03-23,0,15,0%,90.6
2025-03-24,1,19,5.26%,92.5
2025-03-25,0,18,0%,86.6
2025-03-26,0,14,0%,91.9
2025-03-27,0,20,0%,86.6
2025-03-28,0,21,0%,93.8
2025-03-29,0,14,0%,90.4
2025-03-30,0,32,0%,90.6
2025-03-31,0,20,0%,86.4
2025-04-01,0,28,0%,92.5
2025-04-02,1,30,3.33%,92.1
2025-04-03,1,30,3.33%,78.6
2025-04-04,0,30,0%,82.7
2025-04-05,1,35,2.86%,81.4
2025-04-06,0,26,0%,76.4
2025-04-07,0,38,0%,85.8
2025-04-08,0,34,0%,82.5
2025-04-09,0,31,0%,82.7
2025-04-10,0,25,0%,82.9
2025-04-11,0,9,0%,88.9
2025-04-12,0,25,0%,86.2
2025-04-13,0,17,0%,87.8
2025-04-14,0,23,0%,89
2025-04-15,0,12,0%,78.1
2025-04-16,0,28,0%,84.8
2025-04-17,0,26,0%,87.3
2025-04-18,0,25,0%,85
2025-04-19,0,32,0%,85.5
2025-04-20,1,49,2.04%,87.7
2025-04-21,0,24,0%,83.6
2025-04-22,0,30,0%,81.9
2025-04-23,1,27,3.7%,83
2025-04-24,0,26,0%,81.7
2025-04-25,0,22,0%,88.5
2025-04-26,0,33,0%,82
2025-04-27,0,24,0%,86.2
2025-04-28,0,31,0%,86.5
2025-04-29,0,29,0%,84.9
2025-04-30,1,34,2.94%,83.1
2025-05-01,0,41,0%,81.5
2025-05-02,0,23,0%,85.3
2025-05-03,0,31,0%,83.6
2025-05-04,0,43,0%,82.8
2025-05-05,0,36,0%,74.7
2025-05-06,0,35,0%,70.3
2025-05-07,0,53,0%,68.3
2025-05-08,0,66,0%,68.7
2025-05-09,1,39,2.56%,71.3
2025-05-10,0,33,0%,82.2
2025-05-11,0,59,0%,73.7
2025-05-12,0,39,0%,72.6
2025-05-13,1,44,2.27%,70.6
2025-05-14,0,53,0%,72
2025-05-15,0,72,0%,67.4
2025-05-16,0,66,0%,66
2025-05-17,0,52,0%,65.5
2025-05-18,1,57,1.75%,65.2
2025-05-19,2,64,3.12%,69.2
2025-05-20,1,77,1.3%,72.9
2025-05-21,0,50,0%,72.1
2025-05-22,0,35,0%,76
2025-05-23,0,25,0%,77.6
2025-05-24,1,30,3.33%,68.3
2025-05-25,0,17,0%,75.3
2025-05-26,0,15,0%,73.8
2025-05-27,0,47,0%,73.5
2025-05-28,0,32,0%,70.2
2025-05-29,0,8,0%,61.6
2025-05-30,0,29,0%,74.6
2025-05-31,0,14,0%,72.7
2025-06-01,0,27,0%,71
2025-06-02,0,14,0%,69.9
2025-06-03,0,21,0%,74
2025-06-04,0,13,0%,71.8
2025-06-05,0,30,0%,75.7
2025-06-06,0,35,0%,69.2
2025-06-07,0,20,0%,74
2025-06-08,0,26,0%,76.8
2025-06-09,0,18,0%,75.9
2025-06-10,0,11,0%,78.4
2025-06-11,0,22,0%,71.5
2025-06-12,0,14,0%,80.4
2025-06-13,0,25,0%,72.6
2025-06-14,0,103,0%,59.3
2025-06-15,0,241,0%,58.3
2025-06-16,0,130,0%,64.1
2025-06-17,0,39,0%,83.6
2025-06-18,0,43,0%,85.7
2025-06-19,0,37,0%,71.6
2025-06-20,0,48,0%,76.4
2025-06-21,0,36,0%,75.8
2025-06-22,0,21,0%,74
2025-06-23,0,36,0%,79.3
2025-06-24,0,186,0%,67.9
2025-06-25,5,292,1.71%,38.8
2025-06-26,1,256,0.39%,39.2
2025-06-27,0,227,0%,70.9
2025-06-28,1,198,0.51%,69.7
2025-06-29,0,148,0%,72.3
2025-06-30,0,147,0%,72
2025-07-01,0,158,0%,66
2025-07-02,0,127,0%,67.2
2025-07-03,0,37,0%,55.1
2025-07-04,0,17,0%,56.9
2025-07-05,0,19,0%,55.8
2025-07-06,0,26,0%,52
2025-07-07,0,14,0%,62.4
2025-07-08,0,21,0%,50.1
2025-07-09,0,24,0%,53.6
2025-07-10,0,21,0%,49.4
2025-07-11,0,31,0%,61.9
2025-07-12,4,175,2.29%,25.1
2025-07-13,2,116,1.72%,24.8
2025-07-14,0,45,0%,58.5
2025-07-15,0,35,0%,58.3
2025-07-16,0,30,0%,30.5
2025-07-17,0,33,0%,49.5
2025-07-18,0,28,0%,55
2025-07-19,0,25,0%,61.7
2025-07-20,0,50,0%,52.6
2025-07-21,0,24,0%,55.2
2025-07-22,0,34,0%,60.5
2025-07-23,0,27,0%,54.8
2025-07-24,0,27,0%,57.5
2025-07-25,0,23,0%,57.7
2025-07-26,0,46,0%,60.3
2025-07-27,0,31,0%,54.2
2025-07-28,0,48,0%,62.3
2025-07-29,0,44,0%,61.7
2025-07-30,0,40,0%,66.2
2025-07-31,0,43,0%,60.8
2025-08-01,0,38,0%,66.1
2025-08-02,0,18,0%,51.9
2025-08-03,0,26,0%,61.4
2025-08-04,0,28,0%,49.4
2025-08-05,0,21,0%,67.4
2025-08-06,0,27,0%,53.7
2025-08-07,0,23,0%,64.7
2025-08-08,0,27,0%,67.2
2025-08-09,0,32,0%,63.5
2025-08-10,0,40,0%,52.5
2025-08-11,1,29,3.45%,60.2
2025-08-12,0,16,0%,60.9
2025-08-13,0,33,0%,35.5
2025-08-14,0,36,0%,69.2
2025-08-15,0,29,0%,63
2025-08-16,0,23,0%,78
2025-08-17,0,15,0%,74.4
2025-08-18,0,22,0%,87.6
2025-08-19,0,17,0%,81.3
2025-08-20,0,20,0%,69.5
2025-08-21,0,9,0%,82.3
2025-08-22,0,11,0%,83.5
2025-08-23,0,12,0%,89.7
2025-08-24,0,10,0%,91.5
2025-08-25,0,11,0%,90.9
2025-08-26,0,104,0%,66
2025-08-27,0,147,0%,69.3
2025-08-28,1,181,0.55%,63.5
2025-08-29,1,114,0.88%,62.5
2025-08-30,0,132,0%,68.7
2025-08-31,1,110,0.91%,63.8
2025-09-01,1,113,0.88%,69.3
2025-09-02,0,160,0%,57.7
2025-09-03,0,172,0%,61
2025-09-04,1,141,0.71%,53.5
2025-09-05,2,168,1.19%,48.4
2025-09-06,0,167,0%,49.9
2025-09-07,2,176,1.14%,46.8
2025-09-08,0,198,0%,49.6
2025-09-09,0,156,0%,50.9
2025-09-10,4,145,2.76%,38.8
2025-09-11,1,104,0.96%,41.8
2025-09-12,1,50,2%,48.4
2025-09-13,1,78,1.28%,27
2025-09-14,2,55,3.64%,31.3
2025-09-15,0,42,0%,23.5
2025-09-16,3,35,8.57%,15.3
2025-09-17,2,61,3.28%,23.5
2025-09-18,2,59,3.39%,25.7
