Country,Clicks,Impressions,CTR,Position
United States,419,17988,2.33%,43.2
United Kingdom,16,2058,0.78%,38.8
India,12,501,2.4%,35.76
South Africa,9,425,2.12%,26.91
Cameroon,9,295,3.05%,30.45
Canada,6,412,1.46%,43.3
Puerto Rico,6,108,5.56%,44.09
Mexico,3,94,3.19%,46.33
Cyprus,3,20,15%,24.05
Pakistan,2,450,0.44%,9.1
Australia,2,313,0.64%,37.28
United Arab Emirates,2,102,1.96%,26.95
Iran,2,13,15.38%,24.38
Senegal,2,10,20%,14.6
Brazil,1,666,0.15%,75.26
Germany,1,116,0.86%,49.41
France,1,73,1.37%,50.53
Saudi Arabia,1,69,1.45%,44.88
Japan,1,68,1.47%,127.62
Malaysia,1,59,1.69%,48.64
Singapore,1,57,1.75%,30.72
Netherlands,1,54,1.85%,39.11
Bangladesh,1,54,1.85%,42.76
Thailand,1,49,2.04%,41.06
Nigeria,1,43,2.33%,20.28
Dominican Republic,1,26,3.85%,50.27
Norway,1,24,4.17%,27.42
Greece,1,22,4.55%,31.82
Romania,1,18,5.56%,41
Congo - Kinshasa,1,6,16.67%,11.17
Uganda,1,6,16.67%,14
Guatemala,1,5,20%,27.6
Vietnam,0,237,0%,69.22
South Korea,0,214,0%,61.22
Russia,0,188,0%,74.03
Philippines,0,148,0%,35.97
Indonesia,0,112,0%,40.28
Turkey,0,85,0%,32.27
Spain,0,82,0%,38.62
Argentina,0,81,0%,64.28
Ireland,0,79,0%,31.13
Egypt,0,64,0%,37.61
New Zealand,0,62,0%,23.71
Israel,0,62,0%,57.02
Italy,0,62,0%,58.19
Colombia,0,54,0%,56.07
Ecuador,0,49,0%,57.41
Ukraine,0,43,0%,50.58
Belgium,0,41,0%,48.9
Poland,0,40,0%,59.4
Algeria,0,38,0%,31.68
Sweden,0,37,0%,37.16
Iraq,0,34,0%,47.18
Kenya,0,33,0%,26.94
Taiwan,0,31,0%,68.45
Venezuela,0,30,0%,66.77
Peru,0,28,0%,55.36
Portugal,0,27,0%,31.3
Laos,0,22,0%,28.23
Qatar,0,22,0%,35.23
Kuwait,0,21,0%,36.14
Albania,0,21,0%,38.62
Hungary,0,21,0%,48.81
Morocco,0,21,0%,52.76
Chile,0,18,0%,52.67
Uzbekistan,0,17,0%,76.71
Bahrain,0,16,0%,29.38
